Bedding_week,Date,Time,Age_in_months,IdLabel,total_visited_cages
1,2020-08-27,2023-03-15T01:00:00Z,15,18291F,89
1,2020-08-27,2023-03-15T01:00:00Z,18,16829E,20
1,2020-08-27,2023-03-15T01:00:00Z,20,16509C,20
1,2020-08-27,2023-03-15T01:00:00Z,25,14827B,67
1,2020-08-27,2023-03-15T01:00:00Z,37,10793A,31
1,2020-08-27,2023-03-15T02:00:00Z,15,18291F,88
1,2020-08-27,2023-03-15T02:00:00Z,25,14827B,2
1,2020-08-27,2023-03-15T02:00:00Z,37,10793A,11
1,2020-08-27,2023-03-15T03:00:00Z,12,19231J,8
1,2020-08-27,2023-03-15T03:00:00Z,15,18291F,59
1,2020-08-27,2023-03-15T03:00:00Z,20,16509C,2
1,2020-08-27,2023-03-15T03:00:00Z,25,14827B,6
1,2020-08-27,2023-03-15T03:00:00Z,37,10793A,2
1,2020-08-27,2023-03-15T04:00:00Z,12,19231J,44
1,2020-08-27,2023-03-15T04:00:00Z,15,18291F,34
1,2020-08-27,2023-03-15T04:00:00Z,18,16829E,13
1,2020-08-27,2023-03-15T04:00:00Z,20,16509C,15
1,2020-08-27,2023-03-15T04:00:00Z,25,14827B,11
1,2020-08-27,2023-03-15T04:00:00Z,37,10793A,3
1,2020-08-27,2023-03-15T05:00:00Z,15,18291F,76
1,2020-08-27,2023-03-15T05:00:00Z,25,14827B,2
1,2020-08-27,2023-03-15T06:00:00Z,12,19231J,5
1,2020-08-27,2023-03-15T06:00:00Z,15,18291F,1
1,2020-08-27,2023-03-15T06:00:00Z,18,16829E,5
1,2020-08-27,2023-03-15T06:00:00Z,25,14827B,37
1,2020-08-27,2023-03-15T07:00:00Z,12,19231J,8
1,2020-08-27,2023-03-15T07:00:00Z,18,16829E,28
1,2020-08-27,2023-03-15T07:00:00Z,20,16509C,18
1,2020-08-27,2023-03-15T07:00:00Z,25,14827B,34
1,2020-08-27,2023-03-15T07:00:00Z,37,10793A,9
