Group,IdLabel,Day,Cage,Duration_sum,Duration_light,Duration_dark
All,14827B,9,Cage 3-2,2222.521,417.902,1804.619
All,14827B,9,Cage 3-3,3653.194,2024.425,1628.769
All,14827B,9,Cage 3-4,558.154,35.503,522.651
All,14827B,9,Cage 3-5,537.692,81.263,456.429
All,14827B,9,Cage 3-6,494.336,51.982,442.354
All,14827B,9,Tube 1:2,342.586,47.779,294.807
All,14827B,9,Tube 2:3,404.988,80.248,324.74
All,14827B,10,Cage 1-1,450.981,31.983,418.998
All,14827B,10,Cage 1-2,1097.825,57.701,1040.124
All,14827B,10,Cage 1-3,19210.554,13815.897,5394.657
All,14827B,10,Cage 1-4,1449.926,478.332,971.594
All,14827B,10,Cage 1-5,375.846,8.871,366.975
All,14827B,10,Cage 1-6,263.214,50.047,213.167
All,14827B,10,Cage 2-1,771.183,189.083,582.1
All,14827B,10,Cage 2-2,1350.499,52.252,1298.247
All,14827B,10,Cage 2-3,4403.829,340.774,4063.055
All,14827B,10,Cage 2-4,457.097,70.148,386.949
All,14827B,10,Cage 2-5,568.792,64.88,503.912
All,14827B,10,Cage 2-6,404.891,132.647,272.244
All,14827B,10,Cage 3-1,628.453,41.99,586.463
All,14827B,10,Cage 3-2,2394.719,381.32,2013.399
All,14827B,10,Cage 3-3,2025.437,10.534,2014.903
All,14827B,10,Cage 3-4,567.254,255.64,311.614
All,14827B,10,Cage 3-5,953.01,10.827,942.183
All,14827B,10,Cage 3-6,388.785,26.434,362.351
All,14827B,10,Tube 1:2,293.897,57.296,236.601
All,14827B,10,Tube 2:3,369.15,23.728,345.422
All,16509C,1,Cage 2-1,386.495,386.495,0
All,16509C,1,Cage 2-2,799.372,799.372,0
All,16509C,1,Cage 2-3,334.566,334.566,0
All,16509C,1,Cage 2-4,603.975,603.975,0
All,16509C,1,Cage 2-5,382.246,382.246,0
All,16509C,1,Cage 2-6,584.554,584.554,0
All,16509C,1,Tube 1:2,76.664,76.664,0
All,16509C,1,Tube 2:3,27.121,27.121,0
All,16509C,2,Cage 2-1,178.744,0,178.744
All,16509C,2,Cage 2-2,1635.594,0,1635.594
All,16509C,2,Cage 2-3,322.017,0,322.017
All,16509C,2,Cage 2-4,690.898,0,690.898
All,16509C,2,Cage 2-5,332.415,0,332.415
All,16509C,2,Cage 2-6,484.038,0,484.038
All,16509C,2,Cage 3-1,22286.765,13978.873,8307.892
All,16509C,2,Cage 3-2,5988.455,2228.087,3760.368
All,16509C,2,Cage 3-3,3133.05,1254.088,1878.962
All,16509C,2,Cage 3-4,6337.323,4305.331,2031.992
All,16509C,2,Cage 3-5,1857.476,672.812,1184.664
All,16509C,2,Cage 3-6,5867.367,820.434,5046.933
All,16509C,2,Tube 1:2,142.847,0,142.847
All,16509C,2,Tube 2:3,709.805,225.433,484.372
All,16509C,3,Cage 3-1,39785.025,24296.84,15488.185
All,16509C,3,Cage 3-2,5275.094,1180.448,4094.646
All,16509C,3,Cage 3-3,2287.75,248.291,2039.459
All,16509C,3,Cage 3-4,7195.739,4681.602,2514.137
All,16509C,3,Cage 3-5,2383.498,224.716,2158.782
All,16509C,3,Cage 3-6,3982.454,1149.159,2833.295
All,16509C,3,Tube 2:3,368.22,54.452,313.768
All,16509C,4,Cage 3-1,7936.74,2583.102,5353.638
All,16509C,4,Cage 3-2,2543.037,285.067,2257.97
All,16509C,4,Cage 3-3,21019.142,16838.97,4180.172
All,16509C,4,Cage 3-4,10122.26,8102.701,2019.559
All,16509C,4,Cage 3-5,1800.461,522.121,1278.34
All,16509C,4,Cage 3-6,6514.978,575.93,5939.048
All,16509C,4,Tube 2:3,318.865,42.987,275.878
All,16509C,5,Cage 3-1,1633.72,290.094,1343.626
All,16509C,5,Cage 3-2,4689.204,1746.945,2942.259
All,16509C,5,Cage 3-3,23120.782,15627.355,7493.427
All,16509C,5,Cage 3-4,11891.021,5245.4,6645.621
All,16509C,5,Cage 3-5,2032.891,408.408,1624.483
All,16509C,5,Cage 3-6,3340.995,435.08,2905.915
All,16509C,5,Tube 2:3,308.951,75.029,233.922
All,16509C,6,Cage 3-1,2142.902,69.011,2073.891
All,16509C,6,Cage 3-2,3432.414,691.778,2740.636
All,16509C,6,Cage 3-3,23158.151,14717.899,8440.252
All,16509C,6,Cage 3-4,13478.728,2206.449,11272.279
All,16509C,6,Cage 3-5,1245.643,326.976,918.667
All,16509C,6,Cage 3-6,2783.061,861.74,1921.321
All,16509C,6,Tube 2:3,204.06,69.976,134.084
All,16509C,7,Cage 3-1,2477.562,266.696,2210.866
All,16509C,7,Cage 3-2,6064.982,542.199,5522.783
All,16509C,7,Cage 3-3,30969.867,24425.948,6543.919
All,16509C,7,Cage 3-4,7729.281,953.372,6775.909
All,16509C,7,Cage 3-5,1616.161,247.626,1368.535
All,16509C,7,Cage 3-6,2499.224,475.176,2024.048
All,16509C,7,Tube 2:3,216.081,38.782,177.299
All,16509C,8,Cage 3-1,2342.999,946.502,1396.497
All,16509C,8,Cage 3-2,4099.215,860.644,3238.571
All,16509C,8,Cage 3-3,28472.441,22982.783,5489.658
All,16509C,8,Cage 3-4,5817.277,645.799,5171.478
All,16509C,8,Cage 3-5,1931.088,571.646,1359.442
All,16509C,8,Cage 3-6,2535.751,687.737,1848.014
All,16509C,8,Tube 2:3,266.655,97.649,169.006
All,16509C,9,Cage 3-1,1687.749,223.282,1464.467
All,16509C,9,Cage 3-2,5249.886,664.649,4585.237
All,16509C,9,Cage 3-3,36654.157,29103.317,7550.84
All,16509C,9,Cage 3-4,3441.715,388.879,3052.836
All,16509C,9,Cage 3-5,1537.616,424.243,1113.373
All,16509C,9,Cage 3-6,2026.971,311.63,1715.341
All,16509C,9,Tube 2:3,245.35,47.609,197.741
All,16509C,10,Cage 3-1,1073.748,117.402,956.346
All,16509C,10,Cage 3-2,2321.519,407.154,1914.365
All,16509C,10,Cage 3-3,9974.853,6407.957,3566.896
