Group,IdLabel,Day,Cage,Duration_entropy,Duration_entropy_light,Duration_entropy_dark
All,16829E,6,Tube 1:2,0.967,0,0
All,16829E,6,Tube 2:3,0.953,0,0
All,16829E,7,Cage 2-1,0.803,0,0
All,16829E,7,Cage 2-2,0.821,0,0
All,16829E,7,Cage 2-3,0.566,0,0
All,16829E,7,Cage 2-4,0.391,0,0
All,16829E,7,Cage 2-5,0.846,0,0
All,16829E,7,Cage 2-6,0.79,0,0
All,16829E,7,Tube 1:2,0.933,0,0
All,16829E,7,Tube 2:3,0.897,0,0
All,16829E,8,Cage 1-1,0.89,0,0.89
All,16829E,8,Cage 1-2,0.755,0,0.755
All,16829E,8,Cage 1-3,0.746,0,0.746
All,16829E,8,Cage 1-4,0.82,0,0.82
All,16829E,8,Cage 1-5,0.909,0,0.909
All,16829E,8,Cage 1-6,0.743,0,0.743
All,16829E,8,Cage 2-1,0.789,0,0
All,16829E,8,Cage 2-2,0.676,0,0
All,16829E,8,Cage 2-3,0.441,0,0
All,16829E,8,Cage 2-4,0.422,0,0
All,16829E,8,Cage 2-5,0.778,0,0
All,16829E,8,Cage 2-6,0.728,0,0
All,16829E,8,Cage 3-1,0.803,0,0
All,16829E,8,Cage 3-2,0.718,0,0
All,16829E,8,Cage 3-3,0.433,0,0
All,16829E,8,Cage 3-4,0.733,0,0
All,16829E,8,Cage 3-5,0.88,0,0
All,16829E,8,Cage 3-6,0.835,0,0
All,16829E,8,Tube 1:2,0.899,0,0
All,16829E,8,Tube 2:3,0.908,0,0
All,16829E,9,Cage 1-1,0.882,0,0
All,16829E,9,Cage 1-2,0.856,0,0
All,16829E,9,Cage 1-3,0.413,0,0
All,16829E,9,Cage 1-4,0.223,0,0
All,16829E,9,Cage 1-5,0.822,0,0
All,16829E,9,Cage 1-6,0.658,0,0
All,16829E,9,Cage 2-1,0.687,0,0
All,16829E,9,Cage 2-2,0.641,0,0
All,16829E,9,Cage 2-3,0.615,0,0
All,16829E,9,Cage 2-4,0.256,0,0
All,16829E,9,Cage 2-5,0.928,0,0
All,16829E,9,Cage 2-6,0.838,0,0
All,16829E,9,Cage 3-1,0.786,0,0.786
All,16829E,9,Cage 3-2,0.716,0,0.716
All,16829E,9,Cage 3-3,0.531,0,0.531
All,16829E,9,Cage 3-4,0.328,0,0.328
All,16829E,9,Cage 3-5,0.886,0,0.886
All,16829E,9,Cage 3-6,0.774,0,0.774
All,16829E,9,Tube 1:2,0.861,0,0
All,16829E,9,Tube 2:3,0.886,0,0
All,16829E,10,Cage 1-1,0.808,0,0.808
All,16829E,10,Cage 1-2,0.631,0,0.631
All,16829E,10,Cage 1-3,0.681,0,0.681
All,16829E,10,Cage 1-4,0.41,0,0.41
All,16829E,10,Cage 1-5,0.846,0,0.846
All,16829E,10,Cage 1-6,0.807,0,0.807
All,16829E,10,Cage 2-1,0.757,0,0
All,16829E,10,Cage 2-2,0.702,0,0
All,16829E,10,Cage 2-3,0.574,0,0
All,16829E,10,Cage 2-4,0.605,0,0
All,16829E,10,Cage 2-5,0.898,0,0
All,16829E,10,Cage 2-6,0.772,0,0
All,16829E,10,Cage 3-1,0.815,0,0.815
All,16829E,10,Cage 3-2,0.612,0,0.612
All,16829E,10,Cage 3-3,0.664,0,0.664
All,16829E,10,Cage 3-4,0.844,0,0.844
All,16829E,10,Cage 3-5,0.7,0,0.7
All,16829E,10,Cage 3-6,0.817,0,0.817
All,16829E,10,Tube 1:2,0.884,0,0
All,16829E,10,Tube 2:3,0.889,0,0
All,18291F,1,Cage 2-1,0.897,0.897,0
All,18291F,1,Cage 2-2,0.888,0.888,0
All,18291F,1,Cage 2-3,0.953,0.953,0
All,18291F,1,Cage 2-4,0.915,0.915,0
All,18291F,1,Cage 2-5,0.912,0.912,0
All,18291F,1,Cage 2-6,0.918,0.918,0
All,18291F,1,Tube 1:2,0.954,0.954,0
All,18291F,1,Tube 2:3,0.963,0.963,0
All,18291F,2,Cage 1-1,0.427,0,0.427
All,18291F,2,Cage 1-2,0.954,0,0.954
All,18291F,2,Cage 1-3,0.621,0,0.621
All,18291F,2,Cage 1-4,0.57,0,0.57
All,18291F,2,Cage 1-5,0.908,0,0.908
All,18291F,2,Cage 1-6,0.514,0,0.514
